RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Vallejo,Vallejo,CA,"Vallejo, CA","Vallejo-Fairfield, CA",238,6.520852641,86.21,10.1857,2.5982,299800,0.874831763,13.08940023,0.068609073,74.1,0.187677175,0.042367185,69
City,Independence,Independence,MO,"Kansas City, MO","Kansas City, MO-KS",239,3.300278035,83.33,,,85600,0.469483568,3.506650544,0.033948598,82,0.26835509,0.027893657,100
City,Santa Clara,Santa Clara,CA,"San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA",240,9.93141798,98.21,0.8407,0.3633,976100,0.826360913,17.57407854,0.051116689,42.8,0.025141842,0.003114966,49
City,Cary,Cary,NC,"Raleigh, NC","Raleigh, NC",241,8.275254866,94.81,,,304200,0.263678312,4.824259132,0.039184747,10.5,0.058381394,0.006431199,66
City,Cypress,Cypress,TX,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",242,8.567191844,88.33,,,223300,0.540297163,5.77925154,0.038240036,37.2,0.04974492,0.022094268,82
City,Conroe,Conroe,TX,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",243,7.567191844,76.74,,,175800,0.51457976,6.095353048,0.036808874,46.3,0.075366786,0.01545527,96
City,Surprise,Surprise,AZ,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",244,4.214087118,86.18,8.9321,3.3851,210100,0.815738964,7.030056037,0.032517849,79.7,0.184715569,0.018647719,63
City,Berkeley,Berkeley,CA,"San Francisco, CA","San Francisco-Oakland-Hayward, CA",245,9.482854495,97.06,5.1484,,986500,0.683813023,14.13860928,0.038569691,54.8,0.017234598,0.018279789,44.5
City,Hemet,Hemet,CA,"Riverside, CA","Riverside-San Bernardino-Ontario, CA",246,5.294717331,78.46,11.1751,4.8568,205000,0.440960314,7.10553814,0.064702439,21.9,0.185327813,0.044316835,80.5
City,Norman,Norman,OK,"Oklahoma City, OK","Oklahoma City, OK",247,8.7442076,86.14,1.8404,1.3504,151400,0.664893617,4.92030492,0.027153236,48.2,0.081037387,0.01102667,85
City,Falls Church,Falls Church,VA,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",248,5.959221501,83.33,1.9652,1.9594,486800,0.247116969,1.437799542,0.007115859,10.6,0.097445967,0.015318304,81.5
City,Springfield,Springfield,IL,"Springfield, IL","Springfield, IL",249,3.477293791,83.87,,,99100,0.303643725,0,0.035943491,43,0.122245168,0.026405968,87.5
City,Lake Charles,Lake Charles,LA,"Lake Charles, LA","Lake Charles, LA",250,9.112140871,,,,154600,0.782268579,3.967720242,0.027005175,0.3,0.103809509,0.025025717,
City,Denton,Denton,TX,"Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",251,9.819277108,87.1,2.2024,1.5542,176700,0.971428571,14.36893204,0.058398415,30.7,0.039773859,0.016279131,59
City,Downey,Downey,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",252,5.624652456,97.44,9.4545,2.8793,487000,0.82815735,7.339651752,0.019737166,84.6,0.105647182,0.048847943,87.5
City,Waco,Waco,TX,"Waco, TX","Waco, TX",253,3.708989805,75,,,80600,0.248756219,1.511335013,0.041861042,95.6,0.126618576,0.016889736,103.5
